No.,Time,Source,Destination,Protocol,Length,Info
57,10.737953,DESKTOP-EB9QDOJ.local,4-c-0003.c-msedge.net,TCP,66,62927  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
307,15.810955,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62928  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
308,15.811716,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62929  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
309,15.813638,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62930  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
310,15.814338,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62931  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
311,15.81547,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62932  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
312,15.816234,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62933  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
363,15.852855,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62934  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
364,15.853597,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62935  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
496,16.023294,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62936  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
497,16.024222,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62937  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
599,16.304559,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62938  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
609,16.313263,DESKTOP-EB9QDOJ.local,mobile-gtalk.l.google.com,TCP,66,62939  >  5228 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
644,16.989125,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62940  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
645,16.989372,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62941  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
886,17.746589,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62942  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
887,17.746811,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62943  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
918,17.808287,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62944  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
919,17.808504,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62945  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1012,18.276408,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62946  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1013,18.276644,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62947  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1316,18.82601,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62948  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1317,18.826298,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62949  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1979,20.710996,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62950  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
1980,20.71123,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62951  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
2054,23.913776,DESKTOP-EB9QDOJ.local,dns.google,TCP,66,62952  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
